ano;mes;data;semana_ano;semana_mes;canal;commodity;categoria;segmento;holding;banner;uf;cidade;regional;faturamento;qtd_toneladas;qtd_unidades;# Records
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;COQUEIROS SUPERM LTDA;COQUEIROS SUPERM LTDA;RS;CARAZINHO;SUL;34,41;0,000787127;11;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;GUAPORE;SUL;22,85;0,000665895;8;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;TELEMACO BORBA;SUL;8,78;0,000100387;2;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;COOP ST CLARA LTDA;COOP ST CLARA LTDA;RS;SELBACH;SUL;1,05;2,51766E-05;1;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;PONTAL DO PARANA;SUL;43,07;0,000891919;13;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;KOCH HIPERMERC LTDA;KOCH HIPERMERC LTDA;SC;BALNEARIO PICARRAS;SUL;4,39;0,00012982;1;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;KOCH HIPERMERC LTDA;KOCH HIPERMERC LTDA;SC;BARRA VELHA;SUL;3,49;3,96192E-05;1;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;VIAMAO;SUL;53,25;0,001111879;15;1
2020;1;20/01/2020;4;3;VAREJO INDIRETO;FR;BISCOITOS;ATACADO;CAMILO DISTR COML DE ALIM LTDA;CAMILO DISTR COML DE ALIM LTDA;PR;NOVA ESPERANCA;SUL;59,07;0,002415587;63;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;KOCH HIPERMERC LTDA;KOCH HIPERMERC LTDA;SC;BALNEARIO CAMBORIU;SUL;291,06;0,006160677;72;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;NOVA SANTA ROSA;SUL;3,78;0,000129859;1;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;SAO GABRIEL;SUL;50,43;0,001855048;14;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO MISTO;UNIDASUL DISTR ALIM LTDA;UNIDASUL DISTR ALIM LTDA;RS;PORTAO;SUL;22,7;0,000392037;7;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;PATO BRANCO;SUL;7,96;0,00022065;2;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;GIASSI E CIA LTDA;GIASSI E CIA LTDA;SC;SAO JOSE;SUL;1117,25;0,031927845;277;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;CAMAQUA;SUL;10,43;0,000321107;5;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;BOMBINHAS;SUL;63,93;0,001810992;15;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;REDE SMART (MARTINS);LOJA VI;PR;CAMPO MOURAO;SUL;1,98;5,02633E-05;2;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;KOCH HIPERMERC LTDA;KOCH HIPERMERC LTDA;SC;PORTO BELO;SUL;63,64;0,001960151;16;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;BISTEK SUPERM LTDA;BISTEK SUPERM LTDA;SC;ITAJAI;SUL;1115;0,034416342;325;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;CASTRO;SUL;2,19;0,000129859;1;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;CONDOR SUPER CENTER LTDA;CONDOR SUPER CENTER LTDA;PR;PARANAGUA;SUL;242,26;0,005343154;98;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;RENASCENCA;SUL;31,92;0,001038716;8;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;CONDOR SUPER CENTER LTDA;CONDOR SUPER CENTER LTDA;PR;MARINGA;SUL;95,83;0,00248445;53;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;PGL DISTR DE ALIM LTDA;PGL DISTR DE ALIM LTDA;RS;BAGE;SUL;188,04;0,004494577;56;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PREMIUM;CIA BEAL DE ALIM;CIA BEAL DE ALIM;PR;CURITIBA;SUL;3278,83;0,063519715;825;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;FRAIBURGO;SUL;11,85;0,000255381;6;1
2020;1;20/01/2020;4;3;VAREJO INDIRETO;FR;BISCOITOS;CASH CARRY REGULAR;DINARDELLI COM E REPRES LTDA;DINARDELLI COM E REPRES LTDA;SC;RIO DO SUL;SUL;76,13;0,001801231;17;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;PASSO FUNDO;SUL;1,25;2,51316E-05;1;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;OCTAVIANO ZANDONAI E CIA LTDA;OCTAVIANO ZANDONAI E CIA LTDA;RS;BENTO GONCALVES;SUL;253,21;0,005851411;67;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;SAO JOSE DOS PINHAIS;SUL;13,73;0,000389266;3;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;ASUN COM GEN ALIM LTDA;ASUN COM GEN ALIM LTDA;RS;ESTANCIA VELHA;SUL;32,23;0,000590339;7;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;TUBARAO;SUL;3,98;0,00012982;1;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;GOIOERE;SUL;24,67;0,000615449;9;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;MARAVILHA;SUL;34,24;0,001348491;11;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;NOVA BASSANO;SUL;6,39;0,000180122;3;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;MANDAGUACU;SUL;39,96;0,00108904;9;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;NOVA ESPERANCA;SUL;2,99;5,01933E-05;1;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;CARAZINHO;SUL;46,32;0,001047072;18;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;SUPERM JACOMAR LTDA;SUPERM JACOMAR LTDA;PR;PINHAIS;SUL;7,96;0,00022065;2;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO MISTO;UNIDASUL DISTR ALIM LTDA;UNIDASUL DISTR ALIM LTDA;RS;SAPIRANGA;SUL;45,8;0,000961353;12;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;SUPERM RIZOLAR LTDA;SUPERM RIZOLAR LTDA;PR;CASTRO;SUL;47,7;0,001095181;12;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;IPORA DO OESTE;SUL;5,9;7,92384E-05;2;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO MISTO;UNIDASUL DISTR ALIM LTDA;UNIDASUL DISTR ALIM LTDA;RS;TAQUARA;SUL;24,1;0,000410009;5;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;ANCHIETA;SUL;22,54;0,001298394;10;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;KOCH HIPERMERC LTDA;KOCH HIPERMERC LTDA;SC;ITAPEMA;SUL;344,4;0,007998105;86;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;ITAJAI;SUL;4,59;0,000129552;1;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;MASSARANDUBA;SUL;38;0,000892619;11;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;SUPERM VILAGGE PAULISTA LTDA;SUPERM VILAGGE PAULISTA LTDA;PR;QUATRO BARRAS;SUL;28,83;0,00057088;7;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;SUPERM ILLETACOL LTDA;SUPERM ILLETACOL LTDA;PR;ROLANDIA;SUL;18,81;0,000477501;19;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;SUPER LUVISA LTDA;SUPER LUVISA LTDA;RS;PASSO FUNDO;SUL;14,35;0,000226045;7;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;LARANJEIRAS DO SUL;SUL;21,68;0,001217701;10;1
2020;1;20/01/2020;4;3;VAREJO INDIRETO;FR;BISCOITOS;CASH CARRY REGULAR;SUPER LIDER ALIM EIRELI;SUPER LIDER ALIM EIRELI;SC;BRACO DO NORTE;SUL;19,12;0,000441047;6;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;VENANCIO AIRES;SUL;31,75;0,000816908;9;1
2020;1;20/01/2020;4;3;VAREJO INDIRETO;FR;BISCOITOS;CASH CARRY REGULAR;SUPER LIDER ALIM EIRELI;SUPER LIDER ALIM EIRELI;SC;TUBARAO;SUL;27,63;0,000938987;7;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;BIGUACU;SUL;274,54;0,02998392;234;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;GIASSI E CIA LTDA;GIASSI E CIA LTDA;SC;ICARA;SUL;264,42;0,007765319;67;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;SAO MARCOS;SUL;21,82;0,000520645;5;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;APUCARANA;SUL;38,39;0,001132583;11;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;FLORES DA CUNHA;SUL;13,94;0,000325102;3;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;SAO JOSE DAS PALMEIRAS;SUL;2,99;0,000129859;1;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO MISTO;UNIDASUL DISTR ALIM LTDA;UNIDASUL DISTR ALIM LTDA;RS;GRAVATAI;SUL;75,7;0,001015017;19;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;CASA VISCARDI SA COM E IMP;CASA VISCARDI SA COM E IMP;PR;LONDRINA;SUL;147,74;0,00258296;34;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;DESCANSO;SUL;10,13;0,000309911;3;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;CIA APOLO DE SUPERMERC;CIA APOLO DE SUPERMERC;RS;BENTO GONCALVES;SUL;183,54;0,005733345;46;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;JOACABA;SUL;11,82;0,000519408;4;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;GUARACIABA;SUL;8,98;0,000259718;2;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;BISTEK SUPERM LTDA;BISTEK SUPERM LTDA;SC;FLORIANOPOLIS;SUL;1968,16;0,058734759;538;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;LUZERNA;SUL;32,91;0,001168555;9;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;FRANCISCO BELTRAO;SUL;48,95;0,001459746;13;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;KOCH HIPERMERC LTDA;KOCH HIPERMERC LTDA;SC;PENHA;SUL;106,22;0,002220427;28;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;SUPERM BAKLIZI LTDA;SUPERM BAKLIZI LTDA;RS;BARRA DO QUARAI;SUL;22,43;0,000590485;5;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;RS;NOVA PRATA;SUL;125,41;0,004286584;33;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;SAO CARLOS;SUL;9,34;0,000778931;6;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;ASUN COM GEN ALIM LTDA;ASUN COM GEN ALIM LTDA;RS;PORTO ALEGRE;SUL;163,15;0,0032703;35;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;GUAIRA;SUL;37,41;0,000922899;10;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;ASUN COM GEN ALIM LTDA;ASUN COM GEN ALIM LTDA;RS;CACHOEIRINHA;SUL;43,51;0,001088948;9;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;ASUN COM GEN ALIM LTDA;ASUN COM GEN ALIM LTDA;RS;CANOAS;SUL;28,34;0,000619758;6;1
2020;1;20/01/2020;4;3;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;SC;SAO MIGUEL DO OESTE;SUL;95,59;0,005682106;45;1
2020;1;20/01/2020;4;3;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;ASUN COM GEN ALIM LTDA;ASUN COM GEN ALIM LTDA;RS;OSORIO;SUL;41,51;0,000770434;9;1
2020;1;27/01/2020;5;4;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;PR;GUARATUBA;SUL;9,98;0,000259446;2;1
2020;1;27/01/2020;5;4;VAREJO DIRETO;FR;BISCOITOS;VAREJO PADRAO;CONDOR SUPER CENTER LTDA;CONDOR SUPER CENTER LTDA;PR;MARINGA;SUL;145,07;0,003313537;53;1
